Episode 239/10000, Total Reward: 415.0, Epsilon: 0.9998
Episode 240/10000, Total Reward: 200.0, Epsilon: 0.9998

Episode 1/10000, Total Reward: 150.0, Epsilon: 1.0000
第0場結束，儲存模型架構與參數
Episode 2/10000, Total Reward: 440.0, Epsilon: 1.0000
Episode 3/10000, Total Reward: 155.0, Epsilon: 1.0000
Episode 4/10000, Total Reward: 165.0, Epsilon: 1.0000
Episode 5/10000, Total Reward: 130.0, Epsilon: 1.0000
Episode 6/10000, Total Reward: 340.0, Epsilon: 1.0000
Episode 7/10000, Total Reward: 150.0, Epsilon: 1.0000
Episode 8/10000, Total Reward: 115.0, Epsilon: 1.0000
Episode 9/10000, Total Reward: 80.0, Epsilon: 1.0000
Episode 10/10000, Total Reward: 490.0, Epsilon: 1.0000
Episode 11/10000, Total Reward: 230.0, Epsilon: 1.0000
Episode 12/10000, Total Reward: 260.0, Epsilon: 1.0000
Episode 13/10000, Total Reward: 85.0, Epsilon: 1.0000
Episode 14/10000, Total Reward: 50.0, Epsilon: 1.0000
Episode 15/10000, Total Reward: 170.0, Epsilon: 1.0000
Episode 16/10000, Total Reward: 90.0, Epsilon: 1.0000
Episode 17/10000, Total Reward: 215.0, Epsilon: 1.0000
Episode 18/10000, Total Reward: 125.0, Epsilon: 1.0000
Episode 19/10000, Total Reward: 340.0, Epsilon: 1.0000
Episode 20/10000, Total Reward: 180.0, Epsilon: 1.0000
Episode 21/10000, Total Reward: 155.0, Epsilon: 1.0000
第20場結束，儲存模型架構與參數
Episode 22/10000, Total Reward: 210.0, Epsilon: 1.0000
Episode 23/10000, Total Reward: 110.0, Epsilon: 1.0000
Episode 24/10000, Total Reward: 45.0, Epsilon: 1.0000
Episode 25/10000, Total Reward: 60.0, Epsilon: 1.0000
Episode 26/10000, Total Reward: 75.0, Epsilon: 1.0000
Episode 27/10000, Total Reward: 35.0, Epsilon: 1.0000
Episode 28/10000, Total Reward: 35.0, Epsilon: 1.0000
Episode 29/10000, Total Reward: 135.0, Epsilon: 1.0000
Episode 30/10000, Total Reward: 135.0, Epsilon: 1.0000
Episode 31/10000, Total Reward: 85.0, Epsilon: 1.0000
Episode 32/10000, Total Reward: 415.0, Epsilon: 1.0000
Episode 33/10000, Total Reward: 45.0, Epsilon: 1.0000
Episode 34/10000, Total Reward: 150.0, Epsilon: 1.0000
Episode 35/10000, Total Reward: 75.0, Epsilon: 1.0000
Episode 36/10000, Total Reward: 55.0, Epsilon: 1.0000
Episode 37/10000, Total Reward: 385.0, Epsilon: 1.0000
Episode 38/10000, Total Reward: 30.0, Epsilon: 1.0000
Episode 39/10000, Total Reward: 30.0, Epsilon: 1.0000
Episode 40/10000, Total Reward: 95.0, Epsilon: 1.0000
Episode 41/10000, Total Reward: 80.0, Epsilon: 1.0000
第40場結束，儲存模型架構與參數
Episode 42/10000, Total Reward: 135.0, Epsilon: 1.0000
Episode 43/10000, Total Reward: 110.0, Epsilon: 1.0000
Episode 44/10000, Total Reward: 240.0, Epsilon: 1.0000
Episode 45/10000, Total Reward: 130.0, Epsilon: 1.0000
Episode 46/10000, Total Reward: 35.0, Epsilon: 1.0000
Episode 47/10000, Total Reward: 210.0, Epsilon: 1.0000
Episode 48/10000, Total Reward: 435.0, Epsilon: 1.0000
Episode 49/10000, Total Reward: 95.0, Epsilon: 1.0000
Episode 50/10000, Total Reward: 225.0, Epsilon: 1.0000
Episode 51/10000, Total Reward: 90.0, Epsilon: 1.0000
Episode 52/10000, Total Reward: 135.0, Epsilon: 1.0000
Episode 53/10000, Total Reward: 155.0, Epsilon: 1.0000
Episode 54/10000, Total Reward: 150.0, Epsilon: 1.0000
Episode 55/10000, Total Reward: 150.0, Epsilon: 1.0000
Episode 56/10000, Total Reward: 90.0, Epsilon: 0.9999
Episode 57/10000, Total Reward: 215.0, Epsilon: 0.9999
Episode 58/10000, Total Reward: 105.0, Epsilon: 0.9999
Episode 59/10000, Total Reward: 195.0, Epsilon: 0.9999
Episode 60/10000, Total Reward: 425.0, Epsilon: 0.9999
Episode 61/10000, Total Reward: 105.0, Epsilon: 0.9999
第60場結束，儲存模型架構與參數
Episode 62/10000, Total Reward: 135.0, Epsilon: 0.9999
Episode 63/10000, Total Reward: 80.0, Epsilon: 0.9999
Episode 64/10000, Total Reward: 50.0, Epsilon: 0.9999
Episode 65/10000, Total Reward: 45.0, Epsilon: 0.9999
Episode 66/10000, Total Reward: 285.0, Epsilon: 0.9999
Episode 67/10000, Total Reward: 205.0, Epsilon: 0.9999
Episode 68/10000, Total Reward: 135.0, Epsilon: 0.9999
Episode 69/10000, Total Reward: 90.0, Epsilon: 0.9999
Episode 70/10000, Total Reward: 80.0, Epsilon: 0.9999
Episode 71/10000, Total Reward: 65.0, Epsilon: 0.9999
Episode 72/10000, Total Reward: 365.0, Epsilon: 0.9999
